id,dateTime,cleanContent,country
81953194,2/29/2020,Startup wants me to pay for their product before they ve even hired meSo  I m through to the last of a 4 stage interview with a media company  One of the founders I spoke to has suggested that I can subscribe to their product  with a 50  discount   To me it seems a little bit stingy that they wouldn t offer it to me for free  at least as a trial   They have mentioned it a few times throughout the process and so I am starting to wonder if they re implying I won t get the job otherwise  From what I can tell  they don t have a huge userbase  Anyone else experienced this   EDIT Huge thanks to all the comments  Didn t expect this much response ,United States
81953447,2/19/2020, Hiring  Senior Data Scientist   Shopify s Retail Data Science Team in Toronto  CanadaHi there   We re looking for a couple senior data scientists to join Shopify s retail data science team  It s a small team   6 of us  currently   split between product  focusing on our hardware and software  and go to market  sales marketing support etc     I ve been here 2 years myself and can say it s a pretty incredible place to work  We hire from an international talent pool  so don t hesitate to reach out if you re interested   More details here  or feel free to DM me directly   https   www shopify ca careers senior data scientist multiple roles e6a7b8  https   www shopify ca careers senior data scientist multiple roles e6a7b8 ,Canada
81953700,3/1/2020, Hiring  Manager  Data Science in San Mateo  CA,United States
81953953,3/2/2020, Hiring  Internship  2020 Internship   Data Analytics   Data Science  H2  in Singapore  Marina One ,Singapore
81954206,2/29/2020, Hiring  Data Scientist II in Peoria  IL  United States,United States
81954459,2/27/2020, Hiring  PostDoc Researcher   Graph Representation Learning and Explainable AI in Dublin  Ireland,Ireland
81954712,2/27/2020, Hiring  Internship  Internship in Natural Language Processing  NLP  in London  UK,United States
81954965,2/17/2020, Hiring  Research Scientist in Seattle  WA,United States
81955218,2/26/2020, Hiring  Data Scientist  Transport Food Marketplace  in Singapore  Marina One ,Singapore
81955471,2/23/2020, Hiring  Data Engineer   Fraud Detection in New York  USA,United States
81955724,2/21/2020, Hiring  Machine Learning Engineer  Merchant Intelligence  Remote ,United States
81955977,2/25/2020, Hiring  Post doctoral research Big Data Mineral Exploration in Stanford University  USA,United States
81956230,2/25/2020, Hiring  Data Scientist   Machine Learning   Twitch Prime in Seattle  Washington,United States
81956483,2/22/2020, Hiring  Senior Machine Learning Inference Engineer in Santa Monica  CA  US,United States
81956736,3/2/2020, Hiring  Data Scientist Lead in Singapore  Cecil Court ,Singapore
81956989,2/21/2020, Hiring  Enterprise Data   Data Science Solutions Architect  Hong Kong in Hong Kong,Hong Kong
81957242,3/1/2020, Hiring  Linux Big Data Engineer in London  UK,United States
81957495,2/26/2020, Hiring  Machine Learning Lead in Hong Kong  relocation offered ,Hong Kong
81957748,2/1/2020, Hiring  Data Scientist in DC and Tampa areas   Must have a clearanceThe company I work for is hiring all levels of data scientists   The catch is that you must have a US government clearance   Hit me up if you want a referral   It is anything from VBA and automation to predictors to object detection and analysis  depending on the position ,United States
81958001,2/28/2020, Hiring  Senior Data Scientist in Santa Clara  California,United States
81958254,2/24/2020, Hiring  Data Engineer  Analytics at Castlight Health   San Francisco  CA,United States
81958507,2/22/2020, Hiring  Data Engineering Manager in Denver  Colorado,United States
81958760,2/19/2020, Hiring  Data Scientist   Machine Learning   Twitch Prime in Madrid  Spain,Spain
81959013,2/28/2020, Hiring  Senior Insights Analyst in San Mateo  CA,United States
81959266,2/13/2020, Hiring  Internship  Internship Active Learning in Probabilistic Machine Learning in Renningen  Germany,Germany
81959519,2/29/2020, Hiring  Internship  2020 Summer Data Science Intern in Mountain View  United States,United States
81959772,2/16/2020, Hiring  Senior Data Scientist in Geneva  Switzerland,Switzerland
81960025,2/18/2020, Hiring  AI Software Engineer   Model Methodology in Switzerland   Z rich,Switzerland
81960278,2/26/2020, Hiring  Data   Analytics Director at Fwd us   San Francisco  CA,United States
81960531,2/27/2020, Hiring  Machine Learning Engineer  Monetization in New York  NY,United States
81960784,2/26/2020, Hiring  Data Engineer in San Francisco  CA,United States
81961037,2/22/2020, Hiring  Senior Decision Scientist in Denver  Colorado,United States
81961290,2/14/2020, Hiring  Impact and Learning Manager at Global Health Corps   New York  NY,United States
81961543,2/11/2020, Hiring  Quantitative Researcher  Data Science Machine Learning Mathematical Modelling  in London  UK,United States
81961796,2/25/2020, Hiring  Junior Data Engineer at Global Strategy Group   New York  NY,United States
81962049,2/25/2020, Hiring  Post doctoral research position in Stanford University  USA,United States
81962302,2/25/2020, Hiring  Data Analyst at CommonLit   Washington  DC,United States
81962555,1/30/2020, Hiring  Emerging Leaders in Data Science Fellowship,United States
81962808,1/7/2020, HIRING  Data Engineers of all skill and experience levels in Portland  ORYOU  Someone who loves building tools and data pipelines  can create clear and effective reports and data visualizations  and can partner with stakeholders to answer key business questions    US  A group of engineers  designers  and product folk working together to make collaboration software that allows marketers  visual creatives and storytellers to work together in one space   THE JOB  You will integrate data from different sources from around the company into our data warehouse that serves as a single source of truth for our reporting and analytics needs  You will also need to collaborate with our Product Management  Engineering  Marketing  Retail  Finance  and DevOps along the way  You ll build DAGs with tools like Apache Airflow to standardize and enrich the data from out customers to that we can build experiences they love   LEARN MORE      https   www workwithopal com about careers  https   www workwithopal com about careers     https   www linkedin com company opal software jobs   https   www linkedin com company opal software jobs     ,United States
81963061,2/24/2020, Hiring  Senior Data Scientist  Digital Growth and Commerce  DGC  in Markham  Ontario  CA,United States
81963314,2/24/2020, Hiring  Technical Founder,United States
